signal,provider,source_type,coverage_universe_count,coverage_universe_pct,portfolio_holding_coverage_pct,freshness_date,freshness_lag_days,composite_score_weight_pct,cwdas_component,cwdas_component_max_pts,current_system_role,failure_mode_primary,failure_mode_secondary,notes
ESS (StarMine),Fidelity,Quantitative — earnings-surprise momentum model,2498,88.2%,98.4%,2026-06-01,0,61.1%,momentum (indirect via composite),10,Dominant factor in composite score; sole source of momentum component in CW-DAS; most consequential single signal,"Coverage gap for micro-cap and international (≈12% uncovered)","When ESS goes bearish on a stock with strong fundamental signals, it can suppress composite and momentum simultaneously — doubling down on a single data source","Provided by Fidelity via EquitySummaryScores.csv; StarMine earnings-surprise model; freshness updated daily at market open"
Zacks,Zacks Investment Research,Analyst consensus — earnings estimate revisions model,2601,91.9%,100.0%,2026-05-30,2,27.8%,signal (via composite),30,Second most influential input to composite score; highest universe coverage of the three composite signals,Coverage lag (2-day minimum update frequency),"Zacks Strong Buy (5.0) can be drowned out by ESS Bearish due to 27.8% vs 61.1% weight differential — e.g. AEIS (Zacks=5.0 completely outweighed by ESS=BEARISH)","6 source files ingested; Zacks 5=Strong Buy 4=Buy 3=Hold 2=Underperform 1=Sell; normalized to 1–5 scale internally"
Danelfin,Danelfin AI,AI-based technical/fundamental model — proprietary scoring,954,33.7%,98.4%,2026-05-30,2,11.1%,signal (via composite),30,Smallest weight in composite score; adds AI-derived signal orthogonal to ESS/Zacks,Narrow universe (954 of 2831 = 33.7% coverage) — missing for many holdings,"Lowest influence in composite (11.1%) means strong Danelfin signals are structurally underweighted — e.g. KGC (Danelfin=5.0 outweighed by ESS=BEARISH)","6 source files; score 1–5 scale (higher = more positive); does not contribute to momentum component"
Yahoo Analyst Consensus,Yahoo Finance,ABR — analyst buy/sell rating aggregate,954,33.7%,100.0%,2026-05-21,10,0.0% (v1 composite),not in CW-DAS directly,0,"Present in analytical_universe.csv (yahoo_abr_normalized) and fidelity_signal.py alignment logic, but NOT included in composite_score v1","ABR freshness lag (10+ days observed)","Structurally absent from the primary scoring path — operators have no visibility into Yahoo ABR influence unless checking separately","ABR scale: 1.0=Strong Buy to 5.0=Strong Sell; composite_v2_yahoo column exists but is NULL for all current holdings — v2 not yet activated"
Fidelity Analyst Opinion,Fidelity,Directional simplification of ESS — not a separate signal,2498,88.2%,98.4%,2026-06-01,0,61.1% (same as ESS),identical to ESS path,10,"NOT a separate signal from ESS — fidelity_direction is ESS text mapped to BULLISH/NEUTRAL/BEARISH via fidelity_signal.py; used in alignment classification","Same as ESS failure modes — they are the same source","Risk of treating Fidelity Opinion and ESS as independent confirmations when they are the same data from the same provider","fidelity_signal.FidelitySignal.fidelity_direction = ess_text_to_direction(ess_text); operators must understand this is ESS under a different label"
Replay Support (binary),Internal — historical backtest,Boolean gate: was this holding selected in any sector/cap replay run?,~80% of analytical universe,varies by sector,100% for deployment queue (31/31),2026-05-15,17,0.0% (composite),replay (binary gate),20,"Binary gate contributing 20 pts to CW-DAS; absence of replay_supported removes 20 pts from deployment score — significant negative gate","Bucket-level assignment only — all stocks in a sector/cap bucket share the same replay status; no individual stock discrimination","20-point binary reward treats a stock with one marginal replay appearance identically to one with 12 consecutive replay appearances — no depth gradient in current system","Replay coverage is 365-day lookback bucket selection; CIEN in 252-day US.MID.TECH bucket; VRT in shorter-window US.LARGE.INDUSTRIALS bucket"
Replay Evidence Depth,Internal — historical backtest,Count of historical replay snapshots per sector/cap bucket containing a given holding,varies by sector,N/A,N/A,2026-05-15,17,0.0%,not used in CW-DAS scoring,0,"Not currently used in scoring; would allow discrimination between replay-supported holdings with thin vs deep evidence","Data exists in replay_evidence_summary.json but is not surfaced per-symbol","Replay depth is tracked at bucket level only; individual symbol appearance count is not aggregated into the scoring pipeline","257 replay_evidence_summary.json files exist; replay_selection.csv records selected symbols per run; per-symbol appearance count is computable but not used"
Composite Score (aggregated),Internal,Weighted average of ESS (61.1%) + Zacks (27.8%) + Danelfin (11.1%),all analytically covered symbols,varies,100.0%,computed at run time,0,N/A (is the output),signal component in CW-DAS,30,Primary normalised signal into CW-DAS; maps 0–5 → 0–30 pts linearly,"Inherits all coverage and freshness gaps from upstream signals; no signal means composite=missing","When ESS is missing or neutral, composite is pulled toward 3.0 (midpoint) regardless of Zacks/Danelfin strength","formula: composite = (ESS_num×11 + Zacks×5 + Danelfin×2) / 18; ESS_num: VERY_BULLISH=5 BULLISH=4 NEUTRAL=3 BEARISH=2 VERY_BEARISH=1"
UCF (Unified Conviction Framework),Internal,Synthesizes composite_score + signal_direction + ESS + replay + tier into a single score 0–100,all portfolio holdings,100.0%,100.0%,computed at run time,0,N/A (is output),N/A (is the output),100,"Output layer; produces ucf_label (CCL/HCA/DEPLOYMENT_CANDIDATE/TACTICAL_GROWTH/TRIM_WATCH) and conflict_flags","Conflict flag logic detects but does not resolve disagreements — COMPOSITE_ESS_DIVERGE flag raised for AEIS but ESS still dominates scoring outcome","No override pathway documented in current system for operator to act on a flagged disagreement","UCF is output of CW-DAS + conviction scoring; current label counts: CCL=1 (VRT), HCA=14, DEPLOYMENT_CANDIDATE=9, TACTICAL_GROWTH=10, TRIM_WATCH=8"
CW-DAS (Conviction-Weighted Deployment Allocation Score),Internal,Composite rank-eligible deployment scoring: signal(30)+replay(20)+conviction(35)+sizing(8)+momentum(10) minus penalties,deployment queue candidates only,N/A,100.0% for queue,computed at run time,0,N/A (is output),N/A (is the output),103,"Deployment ranking system; directly governs capital allocation order","ESS and composite influence 40+ points out of 103 max (signal+momentum); replay adds 20 points as a binary gate; conviction is tier-based not signal-based","No individual signal override available in current CW-DAS; momentum = 0 for any ESS≤NEUTRAL regardless of other signals","VRT score: 95.50 (sig=27.3 rep=20 conv=35 siz=3.2 mom=10); AEIS not in deployment queue due to UCF label DEPLOYMENT_CANDIDATE blocking"
