archetype,rank_in_archetype,symbol,composite_score,ess_score,zacks_rating,danelfin_score,persistence_score,fms_score,sector,key_evidence
A_ACCELERATING_COMPOUNDER,1,VRT,4.556,VERY_BULLISH,5.0,5.0,~80,89,TECHNOLOGY,"Revenue $5B→$10.8B (+117% 5yr); margins 3.9%→18.3% operating; FCF -$253M→$2.28B; FY2025 +27.7%; AI data center thermal/power management"
A_ACCELERATING_COMPOUNDER,2,FIX,4.833,VERY_BULLISH,5.0,4.0,37.2,85,INDUSTRIALS,"Revenue $3.1B(FY2020)→$10.1B(TTM); +38.4% TTM; EPS $3.93→$34.64; 5 consecutive years >25% growth; data center MEP construction"
A_ACCELERATING_COMPOUNDER,3,ATLC,4.778,VERY_BULLISH,5.0,3.0,88.6,81,FINANCIAL SERVICES,"Revenue $386M→$2.3B (FY2025); FCF $205M→$790M; EPS +73% FY2025; Forward PE 8.64x; fintech consumer credit with proprietary tech moat"
A_ACCELERATING_COMPOUNDER,4,IESC,5.000,VERY_BULLISH,,5.0,36.5,70,INDUSTRIALS,"IES Holdings; data center electrical construction; revenue +25% CAGR; margins expanding; secular AI infrastructure demand"
A_ACCELERATING_COMPOUNDER,5,GMED,4.722,VERY_BULLISH,5.0,3.0,72.2,62,HEALTHCARE,"Globus Medical; post-NuVasive merger integration complete; EPS $0.75→$4.30; revenue +24%; FCF growing strongly; improving margins"
A_ACCELERATING_COMPOUNDER,6,STX,4.778,VERY_BULLISH,5.0,3.0,39.8,65,TECHNOLOGY,"Seagate HDD; cycle recovery explosive — EPS -$2.56→$10.54; revenue +29%; AI nearline HDD demand structural; near prior revenue peak"
A_ACCELERATING_COMPOUNDER,7,MU,4.722,VERY_BULLISH,5.0,3.0,93.8,75,TECHNOLOGY,"Micron; DRAM/HBM; revenue +85.5% TTM; EPS +416%; gross margin 58.4%; HBM AI opportunity structural; approaching compounder territory but cyclical history"
A_ACCELERATING_COMPOUNDER,8,MYRG,4.889,VERY_BULLISH,5.0,4.0,97.6,60,INDUSTRIALS,"MYR Group; electrical construction; EPS $1.83→$9.07 (+316%); revenue +13%; data center/EV/grid infrastructure"
A_ACCELERATING_COMPOUNDER,9,SNDK,4.722,VERY_BULLISH,5.0,3.0,96.9,58,TECHNOLOGY,"Sandisk flash storage (WD spin-off); NAND recovery; storage cycle + AI demand; revenue +25%; margins expanding"
A_ACCELERATING_COMPOUNDER,10,SNX,4.778,VERY_BULLISH,5.0,3.0,98.7,57,TECHNOLOGY,"TD SYNNEX IT distribution; EPS +50% TTM; revenue +10%; AI hardware distribution demand; efficient capital return"
A_ACCELERATING_COMPOUNDER,11,BFH,4.722,VERY_BULLISH,5.0,3.0,82.9,55,FINANCIAL SERVICES,"Bread Financial; consumer credit cycle recovery; EPS $10.89 FY2025 vs $5.49 FY2024; revenue +8%; loss normalization complete"
A_ACCELERATING_COMPOUNDER,12,TXN,4.944,VERY_BULLISH,5.0,5.0,95.3,52,TECHNOLOGY,"Texas Instruments; analog semiconductor recovery; revenue +14.9%; cycle trough passed; margins recovering toward 70%+ target"
A_ACCELERATING_COMPOUNDER,13,ELMD,4.722,VERY_BULLISH,5.0,3.0,85.5,52,HEALTHCARE,"Electromed; airway clearance niche; revenue +15%; EPS +25%; gross margin 65%; high-quality niche medical device"
A_ACCELERATING_COMPOUNDER,14,CTS,4.833,VERY_BULLISH,5.0,4.0,87.8,52,TECHNOLOGY,"CTS Corporation; industrial electronics; recovery underway; solid margins; end-market diversification"
A_ACCELERATING_COMPOUNDER,15,DVA,4.778,VERY_BULLISH,5.0,3.0,39.3,45,HEALTHCARE,"DaVita dialysis; revenue +6.7%; consistent FCF $1.4B; stable 20% EBITDA margin; regulated but reliable"
A_ACCELERATING_COMPOUNDER,16,PRG,4.722,VERY_BULLISH,5.0,3.0,52.6,45,FINANCIAL SERVICES,"PROG Holdings; lease-to-own recovery; improving fundamentals; revenue +8%"
A_ACCELERATING_COMPOUNDER,17,MCY,4.722,VERY_BULLISH,5.0,3.0,37.3,42,FINANCIAL SERVICES,"Mercury General; P&C insurance premium growth; recovering from catastrophe year; EPS +25%"
A_ACCELERATING_COMPOUNDER,18,THG,4.667,VERY_BULLISH,5.0,2.0,93.0,42,FINANCIAL SERVICES,"Hanover Insurance; premium growth +12%; underwriting discipline; consistent book value growth"
A_ACCELERATING_COMPOUNDER,19,FLEX,4.833,VERY_BULLISH,5.0,4.0,98.0,42,TECHNOLOGY,"Flex EMS; revenue +8%; improving margins; AI data center server assembly tailwind"
A_ACCELERATING_COMPOUNDER,20,ARW,4.889,VERY_BULLISH,5.0,4.0,88.9,64,TECHNOLOGY,"Arrow Electronics; electronics distribution recovery; revenue +20.5% TTM; EPS recovering; 4 analysts — thin coverage amplifies signal value"
A_ACCELERATING_COMPOUNDER,21,TREE,4.778,VERY_BULLISH,5.0,3.0,98.5,40,FINANCIAL SERVICES,"LendingTree; mortgage marketplace recovery; revenue +31%/+39% sequential years; FCF +21%; rate normalization tailwind"
