symbol,composite_score,multi_signal_rank,ess_score,zacks_rank,danelfin_score,revenue_growth_ttm_pct,eps_growth_ttm_pct,forward_pe,peg_ratio,analyst_count,analyst_consensus,fcf_quality,margin_trend,fundamental_momentum_signal,fundamental_classification,alignment_verdict,caution_flags,operator_symbol
VRT,4.556,83,5.0,5.0,3.5,29.0,131.4,47.39,1.46,25,BUY,STRONG_POSITIVE,EXPANDING,STRONG,A_SIGNAL_FUNDAMENTALS_ALIGNED_GROWTH,FULLY_CONFIRMED,Valuation premium (47x FwdPE) — execution dependent,YES
ARW,4.889,5,5.0,5.0,4.0,20.49,92.6,12.36,0.20,4,HOLD,POSITIVE,STABLE,STRONG,C_FUNDAMENTALS_AHEAD_OF_ANALYST_CONSENSUS,SIGNAL_AHEAD_OF_CONSENSUS,"Only 4 analysts; Wells Fargo Sell outlier; cyclical recovery normalization risk FY2027 (+2.9% EPS)",YES
SNX,4.778,26,5.0,5.0,3.0,10.39,50.19,16.06,,8,BUY,POSITIVE,STABLE,MODERATE,A_SIGNAL_FUNDAMENTALS_ALIGNED_RECOVERY,CONFIRMED,"Thin operating margin (~2.5%); low-margin distribution; PT slightly below current price",YES
ATLC,4.778,19,5.0,5.0,3.0,68.59,73.31,8.64,,5,STRONG_BUY,STRONG_POSITIVE,STABLE,STRONG,A_SIGNAL_FUNDAMENTALS_ALIGNED_GROWTH,FULLY_CONFIRMED,"Small cap ($1.3B); credit cycle risk; limited analyst coverage (5 analysts)",YES
PSX,4.722,47,5.0,5.0,2.5,-2.38,-5.96,10.53,,20,BUY,WEAK,DETERIORATING,WEAK,B_SIGNAL_AHEAD_OF_FUNDAMENTALS,SIGNAL_DIVERGING_FROM_FUNDAMENTALS,"FCF collapsed to $119M (from $2.7B prior year); revenue declining multi-year; EPS recovery expected but uncertain; commodity cycle dependent",YES
SANM,4.278,153,5.0,5.0,4.0,,,,,,,,,UNKNOWN,E_INSUFFICIENT_DATA,DATA_GAP,,YES
IESC,5.000,1,,5.0,5.0,,,,,,,,,UNKNOWN,E_INSUFFICIENT_DATA,DATA_GAP,,NO
IDR,4.944,2,,5.0,4.5,,,,,,,,,UNKNOWN,E_INSUFFICIENT_DATA,DATA_GAP,,NO
MCHP,4.944,3,,5.0,4.5,,,,,,,,,UNKNOWN,E_INSUFFICIENT_DATA,DATA_GAP,,NO
TXN,4.944,4,,5.0,4.5,,,,,,,,,UNKNOWN,E_INSUFFICIENT_DATA,DATA_GAP,,NO
MYRG,4.889,6,,5.0,4.0,,,,,,,,,UNKNOWN,E_INSUFFICIENT_DATA,DATA_GAP,,NO
RBB,4.889,7,,5.0,4.0,,,,,,,,,UNKNOWN,E_INSUFFICIENT_DATA,DATA_GAP,,NO
SHBI,4.889,8,,5.0,4.0,,,,,,,,,UNKNOWN,E_INSUFFICIENT_DATA,DATA_GAP,,NO
GNE,4.846,9,,,4.0,,,,,,,,,UNKNOWN,E_INSUFFICIENT_DATA,DATA_GAP,,NO
CSTM,4.833,10,,5.0,3.5,,,,,,,,,UNKNOWN,E_INSUFFICIENT_DATA,DATA_GAP,,NO
CTS,4.833,11,,5.0,3.5,,,,,,,,,UNKNOWN,E_INSUFFICIENT_DATA,DATA_GAP,,NO
CVE,4.833,12,,5.0,3.5,,,,,,,,,UNKNOWN,E_INSUFFICIENT_DATA,DATA_GAP,,NO
FIX,4.833,13,,5.0,3.5,,,,,,,,,UNKNOWN,E_INSUFFICIENT_DATA,DATA_GAP,,NO
FLEX,4.833,14,,5.0,3.5,,,,,,,,,UNKNOWN,E_INSUFFICIENT_DATA,DATA_GAP,,NO
INSW,4.833,15,,5.0,3.5,,,,,,,,,UNKNOWN,E_INSUFFICIENT_DATA,DATA_GAP,,NO
MSBI,4.833,16,,5.0,3.5,,,,,,,,,UNKNOWN,E_INSUFFICIENT_DATA,DATA_GAP,,NO
TNK,4.833,17,,5.0,3.5,,,,,,,,,UNKNOWN,E_INSUFFICIENT_DATA,DATA_GAP,,NO
ARKO,4.778,18,,5.0,3.0,,,,,,,,,UNKNOWN,E_INSUFFICIENT_DATA,DATA_GAP,,NO
CHRD,4.778,20,,5.0,3.0,,,,,,,,,UNKNOWN,E_INSUFFICIENT_DATA,DATA_GAP,,NO
