symbol,provider,coverage_expected,coverage_actual,root_cause,recommended_fix
SBS,ESS,YES - ess_history_master.csv has 2026-04-04 BULLISH entry,ABSENT - not in signal_snapshot.csv,B: ESS archive (ess_history_master.csv) is a parallel archive not connected to signal ingestion pipeline. SBS has portfolio_extended scope in the archive but signal_snapshot.csv only captures active raw file ingestion. SBS is absent from signal_snapshot entirely — likely dropped during a snapshot rebuild when the raw ESS file did not include it.,Route ess_history_master.csv into the universe rebuild in analytical_universe_manager.py as a fallback when signal_snapshot.csv has no entry for a symbol.
SBS,Zacks,YES,YES - rank=2 score=4.0 in latest_zacks.csv,No issue — Zacks coverage present and flowing correctly,None
SBS,Danelfin,YES,YES - raw=6 score=3.0 in latest_danelfin.csv,No issue — Danelfin coverage present and flowing correctly,None
STNG,ESS,YES - ess_history_master.csv has 2026-05-20 VERY_BULLISH entry,MISSING EFFECTIVE - signal_snapshot has STNG but signal_coverage_status=NON_STARMINE_ANALYST,B: ESS normalizer classifies non-StarMine analyst scores as NON_COVERED. analytical_universe_manager.py only uses starmine_ess_text from signal_snapshot rows with STARMINE_COVERED status. NON_COVERED rows produce empty ess_score_text in analytical_universe.csv.,Allow NON_STARMINE_ANALYST ESS scores to populate ess_score_text with a lower confidence flag or lower weight. Alternatively fall back to ess_history_master.csv for such symbols.
STNG,Zacks,YES,YES - rank=1 score=5.0 in latest_zacks.csv,No issue — Zacks coverage present and flowing correctly,None
STNG,Danelfin,YES,YES - raw=8 score=4.0 in latest_danelfin.csv,No issue — Danelfin coverage present and flowing correctly,None
SIMO,ESS,YES - ess_history_master.csv has 2026-05-20 BULLISH entry,MISSING EFFECTIVE - signal_snapshot has SIMO but signal_coverage_status=NON_STARMINE_ANALYST,B: Same root cause as STNG. ESS normalizer classifies signal as NON_COVERED. Universe manager ignores NON_COVERED rows for starmine_ess_text population.,Same fix as STNG above.
SIMO,Zacks,YES,YES - rank=1 score=5.0 in latest_zacks.csv,No issue — Zacks coverage present and flowing correctly,None
SIMO,Danelfin,YES,YES - raw=7 score=3.5 in latest_danelfin.csv,No issue — Danelfin coverage present and flowing correctly,None
MCB,ESS,YES - ess_history_master.csv has 2026-04-18 VERY_BULLISH entry,ABSENT - not in signal_snapshot.csv,B: MCB is absent from signal_snapshot.csv entirely. Archive shows coverage at portfolio_extended scope. Same disconnect as SBS — the archive captures historical ESS but the signal_snapshot pipeline does not reference it.,Route ess_history_master.csv into the universe rebuild as a fallback for symbols absent from signal_snapshot.
MCB,Zacks,UNCERTAIN,MISSING - rank='' score='' in latest_zacks.csv,A: Provider returned blank rank/score for MCB on the 2026-06-01 capture date. Zacks file has an MCB row but all score fields are empty — indicates genuine absence of coverage by Zacks on that snapshot date.,No code fix available. Monitor whether MCB coverage returns on a future Zacks refresh. Consider flagging blank-score rows vs absent rows differently in the UI.
MCB,Danelfin,YES,YES - raw=7 score=3.5 in latest_danelfin.csv,No issue — Danelfin coverage present and flowing correctly,None
BSVN,ESS,YES - ess_history_master.csv has 2026-05-20 VERY_BULLISH entry,MISSING EFFECTIVE - signal_snapshot has BSVN but signal_coverage_status=NON_STARMINE_ANALYST,B: Same root cause as STNG and SIMO. ESS normalizer classifies signal as NON_COVERED. Universe manager ignores the row for ess_score_text.,Same fix as STNG above.
BSVN,Zacks,YES,YES - rank=2 score=4.0 in latest_zacks.csv,No issue — Zacks coverage present and flowing correctly,None
BSVN,Danelfin,YES,YES - raw=8 score=4.0 in latest_danelfin.csv,No issue — Danelfin coverage present and flowing correctly,None
