rank,symbol,rps,flag,ess_score,exec_state,market_value_k,notes
1,TSLA,85,TRIM,VERY_BEARISH,BLOCKED_BY_POLICY,13.9,DO_NOT_SELL active — highest reduction priority in portfolio
2,DODFX,58,HOLD,—,DEFERRED_BY_POLICY,14.9,SELL_LAST policy — international fund overweight
3,VEA,56,HOLD,—,DEFERRED_BY_POLICY,3.5,SELL_LAST propagation — DODFX rec context
4,TTNDY,55,HOLD,—,DEFERRED_BY_POLICY,0.5,SELL_LAST propagation — small international position
5,KGC,42,HOLD,BEARISH,DEFERRED_BY_POLICY,6.6,SELL_LAST propagation — overweight international
6,STNG,40,HOLD,VERY_BULLISH,DEFERRED_BY_POLICY,2.3,SELL_LAST propagation — bullish signal (pure allocation reduction)
7,NVS,20,HOLD,BULLISH,DEFERRED_BY_POLICY,0.9,SELL_LAST propagation
8,SIMO,20,ACCUMULATE,BULLISH,DEFERRED_BY_POLICY,1.3,SELL_LAST propagation — strong signal but allocation overweight
9,MU,9,ACCUMULATE,VERY_BULLISH,BLOCKED_BY_POLICY,28.5,DO_NOT_SELL propagation via TSLA rec — MU is not the primary concern
10,TSM,7,ACCUMULATE,BULLISH,DEFERRED_BY_POLICY,11.1,SELL_LAST propagation — bullish
11,SBS,3,ACCUMULATE,BULLISH,DEFERRED_BY_POLICY,17.6,SELL_LAST propagation — strong signal
12,CVE,2,ACCUMULATE,VERY_BULLISH,DEFERRED_BY_POLICY,12.0,SELL_LAST propagation — strong signal
13,GTX,2,ACCUMULATE,VERY_BULLISH,DEFERRED_BY_POLICY,8.9,SELL_LAST propagation — appears in both BUY DQ and reduction list
14,ASML,1,ACCUMULATE,VERY_BULLISH,DEFERRED_BY_POLICY,3.5,SELL_LAST propagation — strong signal
