rank,symbol,score,score_source,action,tier_or_ess,notes
1,VRT,97.99,CW-DAS,BUY,CORE_CONVICTION_LEADER,
2,ARW,96.76,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,
3,ATLC,94.65,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,
4,LRCX,94.51,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,
5,DELL,94.38,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,
6,CAH,92.86,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,
7,PCB,92.57,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,
8,SANM,92.47,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,
9,AVT,92.39,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,
10,CRS,91.36,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,
11,MTZ,91.36,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,
12,NUE,90.91,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,
13,SNX,90.43,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,
14,PSX,90.35,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,
15,UHS,89.34,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,
16,ALNT,88.92,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,
17,HALO,88.65,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,
18,ANGO,88.33,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,
19,FSLR,86.38,CW-DAS,BUY,HIGH_CONVICTION_ANCHOR,
20,GTX,86.11,CW-DAS,BUY — also reduction candidate,CORE_CONVICTION_LEADER / VERY_BULLISH,Appears in both lists: DQ buy score 86.11 AND RPS 2 — signals converge; operator context required
21,TSLA,85.0,RPS,TRIM [BLOCKED],VERY_BEARISH,Highest-RPS reduction action; blocked by DO_NOT_SELL; would enter top 25 if unblocked
22,DODFX,58.0,RPS,HOLD [DEFERRED],—,SELL_LAST active; overweight international; would be #2 reduction action
23,VEA,56.0,RPS,HOLD [DEFERRED],—,SELL_LAST propagation from DODFX rec context
24,TTNDY,55.0,RPS,HOLD [DEFERRED],—,SELL_LAST; small position
25,KGC,42.0,RPS,HOLD [DEFERRED],BEARISH,SELL_LAST propagation; bearish signal
