status,path,file_type,category,risk,program_attribution,notes
M,config/allocation_policy.yaml,config,Signal Governance,LOW,"SIGNAL-GOV-02A","Adds advisory badge thresholds only — no scoring/ranking impact per inline comment"
M,scripts/refresh_signals.py,python,Refresh Subsystem,MEDIUM,"REFRESH-UX-01 REFRESH-UX-02","Adds refresh mode routing constants and _normalize_refresh_mode(); no scoring changes"
M,scripts/run_outcome_ui.py,python,Refresh Subsystem / UI Server,MEDIUM,"REFRESH-UX-01 REFRESH-UX-02 REFRESH-UX-03 REFRESH-UX-04","Adds transparency API endpoints, refresh status API, coverage metrics — no algorithm changes"
M,src/models/provider_health_models.py,python,ESS Coverage,MEDIUM,"ESS-COVERAGE-AUDIT","Adds gap_type field and sub-count fields to EssCoverageGapWarning — data model extension only"
M,src/pipeline/stages/ess_intake_stage.py,python,ESS Intake,MEDIUM,"ESS-INTAKE-ORDERING-01","Intake pipeline stage changes — ordering and merge logic updates"
M,src/portfolio/cra/capital_source_builder.py,python,CRA,HIGH,"CRA-EXPLAIN-02","Adds _compute_source_intent() for display-only source intent labels; does not change capital source ranking or sizing"
M,src/portfolio/cra/models.py,python,CRA,HIGH,"CRA-EXPLAIN-02","Adds SOURCE_INTENT_* constants to CapitalSourceRecord — data model extension, not ranking logic"
M,src/portfolio/enrichment.py,python,Portfolio,LOW,"Unknown","1-line change — likely minor field addition"
M,src/portfolio/ess_coverage.py,python,ESS Coverage,MEDIUM,"ESS-COVERAGE-AUDIT","New helper functions for StarMine freshness detection — diagnostic/reporting only"
M,src/validation/intake_readiness_validator.py,python,Validation,LOW,"ESS-INTAKE-ORDERING-01","Validation rule update for intake readiness"
M,src/validation/persistence_validator.py,python,Validation,LOW,"ESS-INTAKE-ORDERING-01","Persistence validation update"
M,tests/test_fidelity_provider_adapter.py,python_test,Tests,LOW,"ESS-COVERAGE-AUDIT","253-line test expansion for provider adapter"
M,tests/test_intake_readiness_validator.py,python_test,Tests,LOW,"ESS-INTAKE-ORDERING-01","32-line test expansion"
M,tests/test_persistence_validator.py,python_test,Tests,LOW,"ESS-INTAKE-ORDERING-01","60-line test expansion"
M,ui/allocation_intelligence/app.js,javascript,UI,LOW,"Unknown","109-line UI expansion"
M,ui/allocation_intelligence/index.html,html,UI,LOW,"Unknown","13-line UI change"
M,ui/outcome_visualization/app.js,javascript,Refresh UX / UI,LOW,"REFRESH-UX-02 REFRESH-UX-03 REFRESH-UX-04 REFRESH-UX-05 REFRESH-UX-05A","694-line expansion — transparency panel, mode guidance, dynamic counts"
M,ui/outcome_visualization/index.html,html,Refresh UX / UI,LOW,"REFRESH-UX-02 REFRESH-UX-03 REFRESH-UX-04 REFRESH-UX-05 REFRESH-UX-05A","449-line expansion — panel markup and CSS"
M,ui/pis_dashboard/app.js,javascript,PIS Dashboard / UI,LOW,"PA-006A PA-006B AI-004B MEI","1459-line expansion — new PIS dashboard sections"
M,ui/pis_dashboard/index.html,html,PIS Dashboard / UI,LOW,"PA-006A PA-006B AI-004B MEI","172-line expansion — new PIS sections markup"
M,ui/portfolio_alignment/app.js,javascript,Portfolio Alignment UI,LOW,"Multiple phases","2229-line expansion — largest single UI change"
M,ui/portfolio_alignment/index.html,html,Portfolio Alignment UI,LOW,"Multiple phases","546-line expansion — markup/CSS"
M,ui/ucf_operator_dashboard/index.html,html,UCF UI,LOW,"UCF-UX","27-line change — display-only"
??,active_job_state_audit.md,markdown,Documentation,LOW,"REFRESH-UX","Audit output"
??,ai_006a_danelfin_semantics_audit.md,markdown,Documentation,LOW,"AI-006A","Audit output"
??,ai_006a_final_verdict.md,markdown,Documentation,LOW,"AI-006A","Audit output"
??,ai_006a_governance_impact_assessment.md,markdown,Documentation,LOW,"AI-006A","Audit output"
??,ai_006a_signal_agreement_validation.md,markdown,Documentation,LOW,"AI-006A","Audit output"
??,ai_006a_validation.md,markdown,Documentation,LOW,"AI-006A","Audit output"
??,artifacts/,directory,Generated Artifact,LOW,"Multiple","Generated run artifacts — NOT source code"
??,audit_reconciliation_addendum.md,markdown,Documentation,LOW,"Multiple audits","Audit output"
??,backlog_current_state_audit.md,markdown,Documentation,LOW,"Governance","Backlog audit"
??,backlog_post_cleanup_report.md,markdown,Documentation,LOW,"Governance","Backlog report"
??,backlog_reconciliation_report.md,markdown,Documentation,LOW,"Governance","Backlog report"
??,candidate_confidence_design.md,markdown,Documentation,LOW,"DECISION-CONFIDENCE-01","Design doc"
??,candidate_freshness_inventory.md,markdown,Documentation,LOW,"DATA-COVERAGE-01","Audit output"
??,candidate_readiness_prototype.md,markdown,Documentation,LOW,"DATA-COVERAGE-01","Design prototype"
??,candidate_universe_lineage.md,markdown,Documentation,LOW,"DATA-COVERAGE-01","Lineage trace"
??,coverage_intent_assessment.md,markdown,Documentation,LOW,"DATA-COVERAGE-01","Assessment doc"
??,coverage_summary_tmp.json,json,Generated Artifact,LOW,"DATA-COVERAGE-01","Temp measurement artifact — should not be committed"
??,coverage_summary_tmp.py,python,Generated Artifact,LOW,"DATA-COVERAGE-01","Temp measurement script — should not be committed"
??,coverage_validator_audit.md,markdown,Documentation,LOW,"DATA-COVERAGE-01","Audit output"
??,data/analysis/dislocation/,directory,Generated Artifact,LOW,"DISLOCATION-02 DISLOCATION-03","Analysis cache files"
??,data/mei/,directory,Generated Artifact,LOW,"MEI","MEI seed data"
??,decision_readiness_audit.md,markdown,Documentation,LOW,"DECISION-CONFIDENCE-01","Audit output"
??,decision_readiness_gap_analysis.md,markdown,Documentation,LOW,"DECISION-CONFIDENCE-01","Gap analysis"
??,deployment_impact_analysis.md,markdown,Documentation,LOW,"DATA-COVERAGE-01","Impact analysis"
??,deployment_safety_assessment.md,markdown,Documentation,LOW,"DATA-COVERAGE-01","Safety assessment"
??,deployment_state_assessment.md,markdown,Documentation,LOW,"DATA-COVERAGE-01","State assessment"
??,docs/COMPASS_X01A_STRATEGIC_IP_HARVEST.md,markdown,Documentation,LOW,"Governance","Strategic IP doc"
??,docs/ai_004_algorithm_specification.md,markdown,Documentation,LOW,"AI-004","Algorithm spec"
??,docs/ai_004_final_verdict.md,markdown,Documentation,LOW,"AI-004","Verdict doc"
??,docs/ai_004_policy_version_diff_design.md,markdown,Documentation,LOW,"AI-004","Design doc"
??,docs/ai_004_validation_plan.md,markdown,Documentation,LOW,"AI-004","Validation plan"
??,docs/ai_006c_explainable_signal_decomposition.md,markdown,Documentation,LOW,"AI-006C","Design doc"
??,docs/ess_intake_ordering_closure_audit.md,markdown,Documentation,LOW,"ESS-INTAKE-ORDERING-01","Closure audit"
??,docs/issue_12d_algorithm_specification.md,markdown,Documentation,LOW,"ISSUE-12D","Algorithm spec"
??,docs/issue_12d_dislocation_outcome_review_design.md,markdown,Documentation,LOW,"ISSUE-12D","Design doc"
??,docs/issue_12d_final_verdict.md,markdown,Documentation,LOW,"ISSUE-12D","Verdict doc"
