dimension,ess_score,zacks_score,danelfin_score,ess_notes,zacks_notes,danelfin_notes,weight
coverage_breadth,10,9,3,"2,918 symbols, 36 dates (10 months)","2,601 symbols, 5 dates (15 days)","954 symbols, 5 dates (15 days)",HIGH
archive_depth,10,1,1,2025-08-18 to 2026-06-01 (10+ months),2026-05-14 to 2026-05-29 (15 days only),2026-05-14 to 2026-05-29 (15 days only),HIGH
freshness,8,9,9,Latest: 2026-06-01 (current),Latest: 2026-05-29 (3 days old),Latest: 2026-05-29 (3 days old),MEDIUM
persistence,8,9.01,8.89,"79.2% avg, 36-date basis (high confidence)","90.1% avg, 5-date basis (low confidence)","88.9% avg, 5-date basis (low confidence)",HIGH
monotonicity_avg_return,3,N/A,N/A,Inverted in bull regime (Phase 7.6G),Cannot compute: only 3-day returns available,Cannot compute: only 7-day returns available,HIGH
monotonicity_win_rate,6,N/A,N/A,VBull 54.13% vs Bear 47.52% (correct at extremes),3-day window: insufficient for meaningful signal test,7-day window: insufficient for meaningful signal test,HIGH
volatility_ordering,9,N/A,N/A,Strictly monotonic: VBull 13.5% vol vs VBear 18.6%,3-day window: insufficient for vol measurement,7-day window: insufficient for vol measurement,MEDIUM
operational_availability,9,6,5,Regular capture via Fidelity; large universe; stable pipeline,Available but partial captures (5 dates in 15 days),Available but lowest symbol count (954),MEDIUM
forward_return_testability,9,1,2,"32,805 30-day return pairs available","Only 3-day returns; 2,267 pairs (insufficient for authority test)",Only 7-day returns; 683 pairs (insufficient for authority test),HIGH
composite_weight_earned,8,UNVERIFIABLE,UNVERIFIABLE,Phase 7.6G: stability/risk-adj confirmed; return alpha pending multi-regime,Insufficient archive to evaluate; weight unverifiable,Insufficient archive to evaluate; weight unverifiable,HIGH
