symbol,composite_score,ess_score,zacks_rating,danelfin_score,persistence_score,fms_score,sector,archetype,gap_type,note
VRT,4.556,VERY_BULLISH,5.0,5.0,~80,89,TECHNOLOGY,A_ACCELERATING_COMPOUNDER,HIGH_FMS_LOWER_COMPOSITE,"Primary future winner candidate. FMS 89 (highest in study). Composite ~4.556 ranks ~150 in full 2586-symbol universe despite exceptional fundamentals. Revenue +29%/+28% consecutive; FCF $2.28B; operating margin 18.3% expanding. Composite depressed by: (1) premium valuation penalty, (2) prior stock volatility. FMI correctly maintains VRT as top priority."
FIX,4.833,VERY_BULLISH,5.0,4.0,37.2,85,INDUSTRIALS,A_ACCELERATING_COMPOUNDER,HIGH_FMS_LOW_PERSISTENCE,"Strong FMS 85 but persistence score only 37.2 — ranked 62nd in top 100 by composite despite exceptional fundamentals. Revenue CAGR ~33%; EPS 8.8x in 5 years; margins expanding every year. SIH signals correctly bullish but the composite rank underweights the ACCELERATION quality. FMI would have flagged FIX as #1-2 priority based on FMS alone."
ATLC,4.778,VERY_BULLISH,5.0,3.0,88.6,81,FINANCIAL SERVICES,A_ACCELERATING_COMPOUNDER,STRONG_FMS_REASONABLE_COMPOSITE,"FMS 81, composite 4.778. Well-recognized but underappreciated vs VRT/FIX in operator attention. Forward PE 8.64x with +61% EPS growth = exceptional PEG < 0.15. Thin analyst coverage (4-6 analysts) means FMI has clearest advantage here."
MU,4.722,VERY_BULLISH,5.0,3.0,93.8,75,TECHNOLOGY,B_RECOVERY_STORY,EXPLOSIVE_RECOVERY_CANDIDATE,"Micron Technology. FMS 75 driven by explosive HBM/AI demand. Revenue +85.5%; EPS +416%. Gross margin 58.4% expanding. Not a compounder (cyclical history) but the AI HBM story may be converting Micron to a structurally stronger business. FMI score 75 captures this inflection point — composite rank (85th) modestly underweights it."
STX,4.778,VERY_BULLISH,5.0,3.0,39.8,65,TECHNOLOGY,B_RECOVERY_STORY,NEAR_PEAK_RECOVERY,"Seagate HDD. FMS 65; composite rank 73rd. Revenue nearly back to prior peak ($11.0B vs $11.7B FY2022). EPS recovered explosively from -$2.56 to $10.54. Low persistence score (39.8) means this hasn't been in the top-tier for long — signals recently bullish. FMI correctly identifies as high-quality recovery with near-complete fundamental recovery."
SNDK,4.722,VERY_BULLISH,5.0,3.0,96.9,58,TECHNOLOGY,B_RECOVERY_STORY,STORAGE_CYCLE_CONVERGENCE,"Sandisk (WD flash storage spinoff). FMS 58; composite rank 83rd. NAND storage recovery aligned with STX cycle. Revenue +25%; margins expanding. Newly independent company — analyst coverage still calibrating. FMI advantage: new ticker means limited historical analyst models, creating potential signal lead."
MYRG,4.889,VERY_BULLISH,5.0,4.0,97.6,60,INDUSTRIALS,B_RECOVERY_STORY,HIGH_PERSIST_HIGH_FMS,"MYR Group electrical construction. FMS 60; composite rank 53rd. EPS recovery explosive ($1.83→$9.07). High persistence (97.6) means sustained signal quality. Data center electrical demand structural tailwind. One of the cleanest recovery stories with clear catalyst (AI infrastructure)."
ARW,4.889,VERY_BULLISH,5.0,4.0,88.9,64,TECHNOLOGY,B_RECOVERY_STORY,THIN_COVERAGE_ADVANTAGE,"Arrow Electronics. FMS 64; composite rank 54th. Revenue near prior peak; EPS 64% recovered. 4-analyst coverage = FMI advantage most pronounced. BofA upgraded Sell→Hold May 2025 — lagging SIH by 12-18 months. Still meaningful upside to prior EPS peak ($21.80)."
GMED,4.722,VERY_BULLISH,5.0,3.0,72.2,62,HEALTHCARE,B_RECOVERY_STORY,POST_MERGER_INFLECTION,"Globus Medical. FMS 62; composite rank 90th. Post-NuVasive merger integration complete. EPS $0.75→$4.30 (+473%). FCF recovering strongly. Margins re-expanding. Surgical device companies post large-merger integration are a specific 'future winner' pattern — FMI correctly identifies the inflection."
BFH,4.722,VERY_BULLISH,5.0,3.0,82.9,55,FINANCIAL SERVICES,B_RECOVERY_STORY,CREDIT_CYCLE_RECOVERY,"Bread Financial. FMS 55; composite rank 88th. EPS cycle: $14.34 (FY2023) → $5.49 (FY2024) → $12.21 (TTM). Current recovery trajectory strong. Consumer credit normalization complete. FMI captures: FCF stable, EPS recovering rapidly, loss cycle ending."
IESC,5.000,VERY_BULLISH,,5.0,36.5,70,INDUSTRIALS,A_ACCELERATING_COMPOUNDER,ZACKS_ONLY_HIGH_FMS,"IES Holdings. FMS ~70 estimated; composite 5.0 (Zacks-only + Danelfin). Despite being in the Zacks-only tier (rank 22), the ESS VERY_BULLISH + Danelfin 5.0 combination signals exceptional quality. Electrical construction data center company similar to FIX but smaller. Persistence 36.5 = newly emerged. Future winner candidate if multi-signal coverage develops."
TXN,4.944,VERY_BULLISH,5.0,5.0,95.3,52,TECHNOLOGY,B_RECOVERY_STORY,HIGH_COMPOSITE_MODERATE_FMS,"Texas Instruments. FMS 52 despite composite rank 48th (highest in multi-signal tier). High persistence (95.3) reflects long-standing signal quality. FMI shows: recovery underway but margins still compressed below peak (~57% gross margin vs 68% at peak). Not a 'future winner' candidate per se — already well-recognized — but FMI adds nuance: recovery is real but partial."
TREE,4.778,VERY_BULLISH,5.0,3.0,98.5,40,FINANCIAL SERVICES,B_RECOVERY_STORY,LOSS_TO_RECOVERY,"LendingTree. FMS 40; composite rank 65th. Revenue +31%/+39% consecutive years from 2023 trough. Still posting GAAP losses but FCF positive and growing. Rate normalization is the catalyst. FMI correctly flags FCF as insufficient to fully validate signals — this is an early-stage recovery candidate where signals are 12-18 months ahead of confirmed profitability."
