file_path,category,git_status,phase_attribution,modified_date,classification_reason
.gitignore,CONFIG,M,CONFIG,2026-06-02,Added .env to gitignore — security hygiene
scripts/run_outcome_ui.py,SOURCE,M,PHASE_22D.10,2026-06-02,Phase 22D.10 D4: cash_arg reads adjusted_deployable_mv from cash_context
src/history/analytical_universe_manager.py,SOURCE,M,MULTI_PHASE,2026-06-01,Phase 7.4D + 22D.2: industry replay routing fix + replay percentile computation
src/portfolio/enrichment.py,SOURCE,M,PHASE_7.5E,2026-06-01,Phase 7.5E: wires danelfin_score from analytical_universe row
src/portfolio/models.py,SOURCE,M,MULTI_PHASE,2026-06-02,Phase 22D.10 D1: safe_to_offset_cash; Phase 7.5E: danelfin_score; Phase 7.5J: AnalystConsensus dataclass
src/portfolio/optimizer.py,SOURCE,M,PHASE_7.3C,2026-05-30,Phase 7.3C: _build_preferred_display() + optimizer_version 7.3C
src/portfolio/recommendations.py,SOURCE,M,MULTI_PHASE,2026-06-01,Coverage-aware dedup: STARMINE_COVERED always wins over NON_STARMINE_ANALYST
src/portfolio/runner.py,SOURCE,M,MULTI_PHASE,2026-06-02,Phase 22D.10 D2/D3/D4: settlement engine + adjusted_deployable_mv; earlier: deployment queue integration
src/portfolio/scoring.py,SOURCE,M,MINOR,2026-06-02,Minor wording fix: replay quality unavailability message
tests/test_optimizer.py,TEST,M,PHASE_7.3C,2026-06-02,Loosened version assertion to accept 7.3A/7.3B/7.3C
ui/portfolio_alignment/app.js,UI,M,MULTI_PHASE,2026-06-02,Phases 7.3C-22D.10 D5: deployment queue UI + cash context + settlement disclosure
ui/portfolio_alignment/index.html,UI,M,MULTI_PHASE,2026-06-02,Phases 7.3C-22D.10 D5: CSS additions for deployment queue + settlement strips
src/portfolio/analyst_consensus.py,SOURCE,??,PHASE_7.5J,2026-06-01,Phase 7.5J: AnalystConsensus transparency model (new file)
src/portfolio/deployment_planner.py,SOURCE,??,PHASE_7.5D,2026-06-01,Phase 7.5D: deployment planner engine (new file — 373 lines)
src/portfolio/deployment_queue.py,SOURCE,??,PHASE_7.5B,2026-06-01,Phase 7.5B: deployment queue builder (new file — 452 lines)
src/portfolio/fidelity_signal.py,SOURCE,??,PHASE_7.5E,2026-06-01,Phase 7.5E: Fidelity signal integration (new file — 202 lines)
src/portfolio/unified_conviction.py,SOURCE,??,PHASE_7.7A,2026-06-01,Phase 7.7A: Unified Conviction Framework (new file — 664 lines)
tests/test_7_3c_optimizer_preferred.py,TEST,??,PHASE_7.3C,2026-05-30,Phase 7.3C: optimizer preferred display test
tests/test_7_4d_replay_evidence_routing.py,TEST,??,PHASE_7.4D,2026-06-01,Phase 7.4D: replay routing validation
tests/test_7_5b_deployment_queue.py,TEST,??,PHASE_7.5B,2026-06-01,Phase 7.5B: deployment queue tests
tests/test_7_5d_deployment_planner.py,TEST,??,PHASE_7.5D,2026-06-01,Phase 7.5D: deployment planner tests
tests/test_7_5e_signal_transparency.py,TEST,??,PHASE_7.5E,2026-06-01,Phase 7.5E: signal transparency tests
tests/test_7_5f_deployment_actionability.py,TEST,??,PHASE_7.5F,2026-06-01,Phase 7.5F: deployment actionability tests
tests/test_7_7a_ucf_foundation.py,TEST,??,PHASE_7.7A,2026-06-01,Phase 7.7A: UCF foundation tests
scripts/phase_7_5w_simulation.py,SCRIPT,??,PHASE_7.5W,2026-06-01,Phase 7.5W: simulation analysis script
scripts/phase_7_8a_persistence.py,SCRIPT,??,PHASE_7.8A,2026-06-01,Phase 7.8A: persistence analysis script
scripts/phase_8_0b0_fmp_probe.py,SCRIPT,??,PHASE_8.0B.0,2026-06-01,Phase 8.0B.0: FMP capability probe
scripts/phase_8_0b0_stable_probe.py,SCRIPT,??,PHASE_8.0B.0,2026-06-01,Phase 8.0B.0: stable data probe
scripts/ucf_7_7b_analysis.py,SCRIPT,??,PHASE_7.7B,2026-06-01,Phase 7.7B: UCF analysis script
scripts/ucf_validation_probe.py,SCRIPT,??,PHASE_7.7A,2026-06-01,UCF validation probe script
ui/ucf_operator_dashboard/,UI,??,PHASE_7.7A,2026-06-01,Phase 7.7A: UCF operator dashboard (index.html)
.env.example,CONFIG,??,CONFIG,2026-06-01,API key template documenting required env vars — safe to commit
data/analysis/phase_22d10a/phase_22d10a_deployment_workflow_audit.md,GOVERNANCE,??,PHASE_22D10A,2026-06-02,Phase 22D.10A governance document — expected output
data/analysis/phase_22d10a/phase_22d10a_final_verdict.md,GOVERNANCE,??,PHASE_22D10A,2026-06-02,Phase 22D.10A governance document — expected output
data/analysis/phase_22d10a/phase_22d10a_frontend_cache_audit.md,GOVERNANCE,??,PHASE_22D10A,2026-06-02,Phase 22D.10A governance document — expected output
data/analysis/phase_22d10a/phase_22d10a_remediation_validation.md,GOVERNANCE,??,PHASE_22D10A,2026-06-02,Phase 22D.10A governance document — expected output
data/analysis/phase_22d10a/phase_22d10a_runtime_reload_audit.md,GOVERNANCE,??,PHASE_22D10A,2026-06-02,Phase 22D.10A governance document — expected output
data/analysis/phase_22d4/cash_deployment_trace.md,GOVERNANCE,??,PHASE_22D4,2026-05-31,Phase 22D.4 governance document — expected output
data/analysis/phase_22d4/cash_governance_analysis.md,GOVERNANCE,??,PHASE_22D4,2026-05-31,Phase 22D.4 governance document — expected output
data/analysis/phase_22d4/cash_math_validation.csv,GOVERNANCE,??,PHASE_22D4,2026-05-31,Phase 22D.4 governance document — expected output
data/analysis/phase_22d4/cash_target_trace.md,GOVERNANCE,??,PHASE_22D4,2026-05-31,Phase 22D.4 governance document — expected output
data/analysis/phase_22d4/phase_22d4_final_verdict.md,GOVERNANCE,??,PHASE_22D4,2026-05-31,Phase 22D.4 governance document — expected output
data/analysis/phase_22d4_workstream_b/cash_allocation_reconciliation.md,GOVERNANCE,??,PHASE_22D4_WORKSTREAM_B,2026-05-31,Phase 22D.4-WB governance document — expected output
data/analysis/phase_22d4_workstream_b/cash_deployment_governance.md,GOVERNANCE,??,PHASE_22D4_WORKSTREAM_B,2026-05-31,Phase 22D.4-WB governance document — expected output
data/analysis/phase_22d4_workstream_b/cash_equivalent_parity_report.md,GOVERNANCE,??,PHASE_22D4_WORKSTREAM_B,2026-05-31,Phase 22D.4-WB governance document — expected output
data/analysis/phase_22d4_workstream_b/cash_governance_certification_report.md,GOVERNANCE,??,PHASE_22D4_WORKSTREAM_B,2026-05-31,Phase 22D.4-WB governance document — expected output
data/analysis/phase_22d4_workstream_b/cash_regression_validation.md,GOVERNANCE,??,PHASE_22D4_WORKSTREAM_B,2026-05-31,Phase 22D.4-WB governance document — expected output
data/analysis/phase_22d4_workstream_b/cash_replay_governance.md,GOVERNANCE,??,PHASE_22D4_WORKSTREAM_B,2026-05-31,Phase 22D.4-WB governance document — expected output
data/analysis/phase_22d4_workstream_b/cash_ui_certification.md,GOVERNANCE,??,PHASE_22D4_WORKSTREAM_B,2026-05-31,Phase 22D.4-WB governance document — expected output
data/analysis/phase_22d4_workstream_b/spaxx_asset_type_audit.md,GOVERNANCE,??,PHASE_22D4_WORKSTREAM_B,2026-05-31,Phase 22D.4-WB governance document — expected output
data/analysis/phase_22d4_workstream_b/spaxx_lineage_trace.md,GOVERNANCE,??,PHASE_22D4_WORKSTREAM_B,2026-05-31,Phase 22D.4-WB governance document — expected output
data/analysis/phase_22d5/cash_floor_lineage_report.md,GOVERNANCE,??,PHASE_22D5,2026-06-01,Phase 22D.5 governance document — expected output
data/analysis/phase_22d5/cash_floor_scenario_analysis.csv,GOVERNANCE,??,PHASE_22D5,2026-06-01,Phase 22D.5 governance document — expected output
data/analysis/phase_22d5/cash_floor_scenario_report.md,GOVERNANCE,??,PHASE_22D5,2026-06-01,Phase 22D.5 governance document — expected output
data/analysis/phase_22d5/cash_governance_inventory.md,GOVERNANCE,??,PHASE_22D5,2026-06-01,Phase 22D.5 governance document — expected output
data/analysis/phase_22d5/dca_policy_design_options.md,GOVERNANCE,??,PHASE_22D5,2026-06-01,Phase 22D.5 governance document — expected output
data/analysis/phase_22d5/deployment_policy_impact_analysis.md,GOVERNANCE,??,PHASE_22D5,2026-06-01,Phase 22D.5 governance document — expected output
data/analysis/phase_22d5/governance_recommendation.md,GOVERNANCE,??,PHASE_22D5,2026-06-01,Phase 22D.5 governance document — expected output
data/analysis/phase_22d5/strategic_vs_tactical_cash_analysis.md,GOVERNANCE,??,PHASE_22D5,2026-06-01,Phase 22D.5 governance document — expected output
data/analysis/phase_22d6/cash_governance_implementation_trace.md,GOVERNANCE,??,PHASE_22D6,2026-06-02,Phase 22D.6 governance document — expected output
data/analysis/phase_22d6/cash_governance_regression_report.md,GOVERNANCE,??,PHASE_22D6,2026-06-02,Phase 22D.6 governance document — expected output
data/analysis/phase_22d6/cash_governance_validation_report.md,GOVERNANCE,??,PHASE_22D6,2026-06-02,Phase 22D.6 governance document — expected output
data/analysis/phase_22d6/cash_target_integration_report.md,GOVERNANCE,??,PHASE_22D6,2026-06-02,Phase 22D.6 governance document — expected output
data/analysis/phase_22d6/deployment_before_after.csv,GOVERNANCE,??,PHASE_22D6,2026-06-02,Phase 22D.6 governance document — expected output
data/analysis/phase_22d6a/cash_target_runtime_trace.md,GOVERNANCE,??,PHASE_22D6A,2026-06-02,Phase 22D.6A governance document — expected output
data/analysis/phase_22d7/phase_22d7_scope_audit.md,GOVERNANCE,??,PHASE_22D7,2026-06-02,Phase 22D.7 governance document — expected output
data/analysis/phase_22d8/deployment_queue_integration_report.md,GOVERNANCE,??,PHASE_22D8,2026-06-02,Phase 22D.8 governance document — expected output
data/analysis/phase_22d8/deployment_queue_integration_trace.md,GOVERNANCE,??,PHASE_22D8,2026-06-02,Phase 22D.8 governance document — expected output
data/analysis/phase_22d8/phase_22d8_final_verdict.md,GOVERNANCE,??,PHASE_22D8,2026-06-02,Phase 22D.8 governance document — expected output
data/analysis/phase_22d9/phase_22d9_scope_audit.md,GOVERNANCE,??,PHASE_22D9,2026-06-02,Phase 22D.9 governance document — expected output
data/analysis/phase_22d10/phase_22d10_settlement_engine_design.md,GOVERNANCE,??,PHASE_22D10,2026-06-02,Phase 22D.10 governance document — expected output
data/analysis/phase_22d10/phase_22d10_settlement_governance.md,GOVERNANCE,??,PHASE_22D10,2026-06-02,Phase 22D.10 governance document — expected output
data/exports/archive/deployment_queue_export_20260601.csv,GENERATED_ARTIFACT,??,EXPORT,2026-06-01,Export archive output — generated artifact
data/exports/archive/holdings_export_20260601.csv,GENERATED_ARTIFACT,??,EXPORT,2026-06-01,Export archive output — generated artifact
data/exports/archive/snapshot_export_20260601.json,GENERATED_ARTIFACT,??,EXPORT,2026-06-01,Export archive output — generated artifact
data/portfolio_ingestion/analysis_runs/ [175 dirs / 1411 files / 91MB],GENERATED_ARTIFACT,??,ALL_PHASES,2026-06-03,PAR-* run outputs (snapshot.json / deployment_queue.json / deployment_plan.json / holdings.csv) — DO NOT COMMIT
aeis_postmortem_validation.md,ROOT_REPORT,??,MULTI_PHASE,unknown,Root-level analysis/report from Phases 7.x-22D.x — candidate for relocation to docs/
aeis_signal_lineage_trace.md,ROOT_REPORT,??,MULTI_PHASE,unknown,Root-level analysis/report from Phases 7.x-22D.x — candidate for relocation to docs/
allocation_concentration_analysis.md,ROOT_REPORT,??,MULTI_PHASE,unknown,Root-level analysis/report from Phases 7.x-22D.x — candidate for relocation to docs/
allocation_curve_calibration_report.md,ROOT_REPORT,??,MULTI_PHASE,unknown,Root-level analysis/report from Phases 7.x-22D.x — candidate for relocation to docs/
allocation_curve_models.csv,ROOT_REPORT,??,MULTI_PHASE,unknown,Root-level analysis data from Phases 7.x-22D.x — candidate for relocation to data/analysis/
allocation_sensitivity_analysis.md,ROOT_REPORT,??,MULTI_PHASE,unknown,Root-level analysis/report from Phases 7.x-22D.x — candidate for relocation to docs/
analyst_consensus_alignment_report.md,ROOT_REPORT,??,MULTI_PHASE,unknown,Root-level analysis/report from Phases 7.x-22D.x — candidate for relocation to docs/
arw_vrt_investment_case.md,ROOT_REPORT,??,MULTI_PHASE,unknown,Root-level analysis/report from Phases 7.x-22D.x — candidate for relocation to docs/
authentic_replay_readiness.md,ROOT_REPORT,??,MULTI_PHASE,unknown,Root-level analysis/report from Phases 7.x-22D.x — candidate for relocation to docs/
capital_concentration_analysis.md,ROOT_REPORT,??,MULTI_PHASE,unknown,Root-level analysis/report from Phases 7.x-22D.x — candidate for relocation to docs/
capital_deployment_queue_design.md,ROOT_REPORT,??,MULTI_PHASE,unknown,Root-level design document from Phases 7.x-22D.x — candidate for relocation to docs/
ccl_promotion_matrix.csv,ROOT_REPORT,??,MULTI_PHASE,unknown,Root-level analysis data — candidate for relocation to data/analysis/
ccl_threshold_sensitivity.csv,ROOT_REPORT,??,MULTI_PHASE,unknown,Root-level analysis data — candidate for relocation to data/analysis/
ccl_threshold_sensitivity_report.md,ROOT_REPORT,??,MULTI_PHASE,unknown,Root-level analysis/report — candidate for relocation to docs/
