signal_name,source_file,raw_field,display_field,transformation_function,refresh_source
ESS (StarMine),data/current/signal_snapshot.csv,starmine_ess_text,ess_score_text,Direct pass-through (text label),Fidelity EquitySummaryScores-May2026.csv → INTAKE run → signal_snapshot append
ESS Numeric,data/current/signal_snapshot.csv,starmine_ess_numeric,ess_numeric (fidelity panel),Direct pass-through (float 1.0–5.0),Derived from starmine_ess_text via TEXT_MAPPED inversion at intake
Fidelity Rating (ESS-derived),src/portfolio/fidelity_signal.py (computed),starmine_ess_text,fidelity_rating,ess_text_to_rating(): VERY_BULLISH→STRONG_BUY / BULLISH→BUY / NEUTRAL→HOLD / BEARISH→SELL / VERY_BEARISH→STRONG_SELL,Same as ESS
Fidelity Direction (ESS-derived),src/portfolio/fidelity_signal.py (computed),starmine_ess_text,fidelity_direction,ess_text_to_direction(): VERY_BULLISH/BULLISH→BULLISH / NEUTRAL→NEUTRAL / BEARISH/VERY_BEARISH→BEARISH,Same as ESS
Zacks Rank,data/signals/zacks/latest_zacks.csv,zacks_rank,Not displayed directly,Raw rank 1–5 (1=Strong Buy 5=Strong Sell). Used to derive zacks_score,src/scoring/fetch_zacks_scores.py via quote-feed.zacks.com API
Zacks Score,data/signals/zacks/latest_zacks.csv,zacks_score,zacks_rating (overlay / overlays table),score = 6.0 − zacks_rank → ascending 1–5 (5=most bullish). Loaded to analytical_universe as zacks_rating,src/scoring/fetch_zacks_scores.py
Danelfin Raw,data/signals/danelfin/latest_danelfin.csv,danelfin_raw,Not displayed directly,Integer 1–10 from danelfin.com/stock/{ticker} aria-label scrape (Overall AI Score only),src/scoring/fetch_danelfin_scores.py
Danelfin Score,data/signals/danelfin/latest_danelfin.csv,danelfin_score,danelfin_score (overlay / UCF dashboard),danelfin_score = danelfin_raw / 2.0 → normalized 1–5 (5=most bullish),src/scoring/fetch_danelfin_scores.py
Yahoo ABR (raw),data/signals/yahoo/latest_yahoo_supplemental.csv,abr,ABR column in consensus matrix (fidelity panel),Raw 1–5 (1=Strong Buy 5=Strong Sell). Not inverted for display; inverted (6−abr) only for composite_v2_yahoo,src/scoring/fetch_yahoo_supplemental.py
Yahoo ABR Normalized,data/current/analytical_universe.csv (research field),yahoo_abr_normalized,Not in production UI (composite_v2_yahoo only),normalize_yahoo_abr(abr) = 6.0 − abr clipped [1..5]. Used only in experimental composite_v2_yahoo,src/history/analytical_universe_manager.py
Yahoo Price Target,data/signals/yahoo/latest_yahoo_supplemental.csv,price_target,price_target (Yahoo card / expanded profile),Direct pass-through (USD float),src/scoring/fetch_yahoo_supplemental.py
Yahoo Upside,data/signals/yahoo/latest_yahoo_supplemental.csv,upside_pct,upside_pct (Yahoo card),Pre-computed at fetch: (target/current_price − 1) × 100,src/scoring/fetch_yahoo_supplemental.py
Composite Score (v1),data/current/analytical_universe.csv,composite_score,composite_score (overlay table / signal profile / CW-DAS input),"Weighted avg: ESS×0.55 + Zacks×0.25 + Yahoo×0.10 + Danelfin×0.10; renormalized over available signals. Yahoo=0 for most holdings (yahoo_score unused in v1, only yahoo_abr_normalized in v2)","src/history/analytical_universe_manager._score_from_inputs()"
CW-DAS Score,computed at analysis time,deployment_score (in DeploymentCandidate),deployment_score (deployment queue / UCF dashboard),CW-DAS = Signal(0–30) + Replay(0–20) + Conviction(0–35) + Sizing(0–8) + Momentum(0–10) − Redundancy_Penalty(0–15) − Concentration_Penalty(0–20). Source inputs: composite_score + narrative_tier + replay_supported + weight_pct + ess_text + signal_direction + is_overweight,src/portfolio/deployment_queue.compute_cw_das()
UCF Score,computed at analysis time,ucf_score (in UnifiedConvictionVerdict),ucf_score (UCF dashboard / signal profile),"ucf_score = signal(0–100)×0.30 + replay(0–100)×0.20 + tier(0–100)×0.25 + momentum(0–100)×0.15 + sizing(0–100)×0.10 − penalties(OW −10 / conc −0..20 / trim −0..15). Signal: composite/5×100",src/portfolio/unified_conviction._compute_ucf_score()
Replay Supported,data/current/replay_inputs.csv,selected_symbols (parsed per replay_id),replay_supported (overlay / deployment queue / UCF),"True if symbol appears in selected_symbols of any replay_input row where replay dimensions match holding's geo+cap+industry tier, or in any cross-sector ALL replay",src/portfolio/recommendations._load_replay_evidence()
Replay Return (best),data/current/replay_performance_series.csv,cumulative_return (matched by replay_id),best_replay_return (overlay),"Best-known cumulative return for the replay that includes this symbol; enriched optionally — often None in current runs","src/portfolio/recommendations._load_replay_evidence() (enrichment path)"
Replay Percentile,computed if available,replay_percentile,replay_percentile (overlay),"Estimated percentile rank of symbol within its replay tier — often None in current runs; UCF uses 100.0 as default when replay_supported=True and percentile=None","src/portfolio/unified_conviction._compute_ucf_score()"
Signal Direction,computed in recommendations,signal_direction,signal_direction (overlay / deployment queue),"BULLISH if composite≥3.5 and ESS not BEARISH/VERY_BEARISH; BEARISH if ESS is BEARISH/VERY_BEARISH OR composite<2.0 with bearish ESS; else NEUTRAL. ESS takes priority over composite when available.","src/portfolio/recommendations.build_security_overlays()"
Opportunity Flag,computed in recommendations,opportunity_flag,opportunity_flag (overlay),"TRIM / HOLD / ACCUMULATE / WATCH — derived from signal_direction + overweight status + replay_supported",src/portfolio/recommendations.build_security_overlays()
Consensus Matrix (ESS direction),src/portfolio/fidelity_signal.py (computed),starmine_ess_text,ess_direction (fidelity consensus stack),ess_text_to_direction(): BULLISH/VERY_BULLISH→BULLISH / NEUTRAL→NEUTRAL / BEARISH/VERY_BEARISH→BEARISH,Same as ESS
Consensus Matrix (Yahoo direction),src/portfolio/fidelity_signal.py (computed),abr (from analyst_consensus_by_symbol),yahoo_direction (fidelity consensus stack),"_consensus_label_to_direction(): STRONG_BUY/BUY→BULLISH / HOLD/NO_CONSENSUS→NEUTRAL / SELL/STRONG_SELL→BEARISH","src/portfolio/analyst_consensus.py → load_analyst_consensus()"
Consensus Matrix (Zacks direction),src/portfolio/fidelity_signal.py (computed),zacks_score (from latest_zacks.csv),zacks_direction (fidelity consensus stack),"_zacks_score_to_direction(): score≥4.0→BULLISH / score≤2.0→BEARISH / else NEUTRAL","src/portfolio/fidelity_signal._zacks_score_to_direction()"
Consensus Matrix Classification,src/portfolio/fidelity_signal.py (computed),computed from 3 signals,classification (consensus matrix badge),"FULL_ALIGNMENT_BULLISH / FULL_ALIGNMENT_BEARISH / PARTIAL_ALIGNMENT / MAJOR_DIVERGENCE / INSUFFICIENT_DATA based on directional agreement across ESS+Yahoo+Zacks","src/portfolio/fidelity_signal.compute_consensus_matrix()"
Trim Priority Score,computed in trim_intelligence,trim_priority_score,trim_score (trim watch / UCF sections),"STI score (0–100): higher = stronger trim signal. Inputs: is_overweight + holding_type + signal_direction + ESS + redundancy",src/portfolio/trim_intelligence.build_strategic_profiles()
